strongs_id,Original Word,Part of Speech,Transliteration,Pronunciation,Phonetic Spelling,KJV,Word Origin,NASB
G4141,πλήσσω,Verb,pléssó,PLAY-so,(place'-so),smite,[apparently another form of,struck
G4142,πλοιάριον,"Noun, Neuter",ploiarion,ploy-AR-ee-on,(ploy-ar'-ee-on),"boat, little (small) ship",[neuter of a presumed derivative of,"small boats, boat, boats, little boat, small boat"
G4143,πλοῖον,"Noun, Neuter",ploion,ploy'-on,(ploy'-on),ship(-ing),[from,"boat, ship, boats, ships, ship's"
G4144,πλοῦς,"Noun, Masculine",ploos or plous,plooce,(plo'-os),"course, sailing, voyage",[from,voyage
G4145,πλούσιος,Adjective,plousios,PLOO-see-os,(ploo'-see-os),rich,[from,"rich, rich man, people, rich man's, rich people"
G4146,πλούσιος,Adverb,plousiós,ploo-see-os,(ploo-see'-oce),"abundantly, richly",[adverb from,"richly, abundantly"
G4147,πλουτέω,Verb,plouteó,ploo-teh'-o,(ploo-teh'-o),"be increased with goods, (be made, wax) rich",[from,"rich, become rich, abounding in riches, become wealthy, get rich"
G4148,πλουτίζω,Verb,ploutizó,ploo-TID-zo,(ploo-tid'-zo),en-(make) rich,[from,"enriched, making rich"
G4149,πλοῦτος,"Noun, Masculine; Noun, Neuter",ploutos,PLOO-tos,(ploo'-tos),riches,[from the base of,"riches, wealth"
G4150,πλύνω,Verb,plunó,ploo'-no,(ploo'-no),wash,"[a prolonged form of an obsolete pluo ""to flow""]","wash, washed, washing"
G4151,πνεῦμα,"Noun, Neuter",pneuma,PNYOO-mah,(pnyoo'-mah),"ghost, life, spirit(-ual, -ually), mind",[from,"Spirit, spirits, breath, spiritual, wind, winds"
G4152,πνευματικός,Adjective,pneumatikos,pnyoo-mat-ee-kos',(pnyoo-mat-ik-os'),spiritual,[from,"spiritual, spiritual things, spiritual men"
G4153,πνευματικός,Adverb,pneumatikós,pnyoo-mat-ee-kos',(pnyoo-mat-ik-oce'),spiritually,[adverb from,"mystically, spiritually"
G4154,πνέω,Verb,pneó,pneh'-o,(pneh'-o),blow,[a primary word],"blew, blowing, blow, blows, wind"
