bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,bible_book,version,lit_type,test_type
1,Genesis1:8,WORD,,G2073,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:8,WORD,,G2532,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:8,WORD,,G1096,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:8,WORD,,G4404,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:8,WORD,,G2250,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:8,WORD,,G1208,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:9,WORD,,G2532,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:9,WORD,,G2036,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:9,WORD,,G3588,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:9,WORD,,G2316,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:9,WORD,,G4863,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:9,WORD,,G3588,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:9,WORD,,G5204,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:9,WORD,,G3588,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:9,WORD,,G5270,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:9,WORD,,G3588,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:9,WORD,,G3772,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:9,WORD,,G1519,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:9,WORD,,G4864,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:9,WORD,,G1520,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:9,WORD,,G2532,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:9,WORD,,G3708,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:9,WORD,,G3588,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:9,WORD,,G3584,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:9,WORD,,G2532,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:9,WORD,,G1096,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:9,WORD,,G3779,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:9,WORD,,G2532,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:9,WORD,,G4863,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:9,WORD,,G3588,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:9,WORD,,G5204,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:9,WORD,,G3588,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:9,WORD,,G5270,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:9,WORD,,G3588,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:9,WORD,,G3772,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:9,WORD,,G1519,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:9,WORD,,G3588,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:9,WORD,,G4864,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:9,WORD,,G846,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:9,WORD,,G2532,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:9,WORD,,G3708,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:9,WORD,,G3588,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:9,WORD,,G3584,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:10,WORD,,G2532,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:10,WORD,,G2564,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:10,WORD,,G3588,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:10,WORD,,G2316,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:10,WORD,,G3588,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:10,WORD,,G3584,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:10,WORD,,G1093,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:10,WORD,,G2532,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:10,WORD,,G3588,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:10,WORD,,,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:10,WORD,,G3588,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:10,WORD,,G5204,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:10,WORD,,G2564,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:10,WORD,,G2281,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:10,WORD,,G2532,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:10,WORD,,G3708,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:10,WORD,,G3588,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:10,WORD,,G2316,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:10,WORD,,G3754,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:10,WORD,,G2570,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:11,WORD,,G2532,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:11,WORD,,G2036,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:11,WORD,,G3588,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:11,WORD,,G2316,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:11,WORD,,G985,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:11,WORD,,G3588,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:11,WORD,,G1093,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:11,WORD,,G1008,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:11,WORD,,G5528,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:11,WORD,,G4687,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:11,WORD,,G4690,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:11,WORD,,G2596,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:11,WORD,,G1085,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:11,WORD,,G2532,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:11,WORD,,G2596,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:11,WORD,,G3665,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:11,WORD,,G2532,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:11,WORD,,G3586,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:11,WORD,,,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:11,WORD,,G4160,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:11,WORD,,G2590,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:11,WORD,,G3739,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:11,WORD,,G3588,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:11,WORD,,G4690,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:11,WORD,,G846,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:11,WORD,,G1722,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:11,WORD,,G846,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:11,WORD,,G2596,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:11,WORD,,G1085,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:11,WORD,,G1909,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:11,WORD,,G3588,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:11,WORD,,G1093,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:11,WORD,,G2532,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:11,WORD,,G1096,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:11,WORD,,G3779,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:12,WORD,,G2532,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:12,WORD,,G1627,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:12,WORD,,G3588,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:12,WORD,,G1093,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:12,WORD,,G1008,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:12,WORD,,G5528,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:12,WORD,,G4687,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:12,WORD,,G4690,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:12,WORD,,G2596,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:12,WORD,,G1085,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:12,WORD,,G2532,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:12,WORD,,G2596,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:12,WORD,,G3665,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:12,WORD,,G2532,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:12,WORD,,G3586,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:12,WORD,,,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:12,WORD,,G4160,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:12,WORD,,G2590,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:12,WORD,,G3739,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:12,WORD,,G3588,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:12,WORD,,G4690,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:12,WORD,,G846,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:12,WORD,,G1722,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:12,WORD,,G846,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:12,WORD,,G2596,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:12,WORD,,G1085,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:12,WORD,,G1909,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:12,WORD,,G3588,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:12,WORD,,G1093,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:12,WORD,,G2532,Genesis,LXX,Pentateuch,Old Testament
